"agency","Charge_Description_Orig","activityDate","BLOCK_ADDRESS","ZipCode","community","fullAdr","lon","lat"
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","5/10/2015 1:20:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR","3/28/2015 0:50:00","2400  BLOCK GRAND AVENUE","92109","SAN DIEGO","2400  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2256284,32.8011788
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","4/15/2015 18:30:00","4400  BLOCK DAWES STREET","92109","SAN DIEGO","4400  BLOCK DAWES STREET , SAN DIEGO, CA  92109",-117.2494277,32.7957929
"SAN DIEGO","MINOR CONSUMING ALCOHOL IN PUBLIC","4/1/2015 22:25:00","3000  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","3000  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509508,32.7677697
"SAN DIEGO","DISORDERLY CONDUCT:  ALCOHOL","1/28/2015 23:10:00","3000  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","3000  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2509508,32.7677697
"SAN DIEGO","LOITERING TO COMMIT PROSTITUTION","1/8/2015 21:40:00","4500  BLOCK MISSION BAY DRIVE","92109","SAN DIEGO","4500  BLOCK MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2165072,32.8028591
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/25/2015 9:00:00","4400  BLOCK LAMONT STREET","92109","SAN DIEGO","4400  BLOCK LAMONT STREET , SAN DIEGO, CA  92109",-117.2347916,32.7991627
"SAN DIEGO","CONVICTED FELON POSSESS/PURCHASE/USE/ETC TEAR GAS (F)","4/9/2015 11:34:00","1400  BLOCK VACATION ROAD","92109","SAN DIEGO","1400  BLOCK VACATION ROAD , SAN DIEGO, CA  92109",-117.2387119,32.7749863
"SAN DIEGO","USE ANOTHER PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC","12/4/2014 12:00:00","1900  BLOCK GRAND AVENUE","92109","SAN DIEGO           ","1900  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2347766,32.7991835
"SAN DIEGO","DISORD CONDUCT/PROSTITUTION","1/8/2015 21:45:00","4500  BLOCK MISSION BAY DRIVE","92109","SAN DIEGO","4500  BLOCK MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2165072,32.8028591
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","4/5/2015 14:00:00","4300  BLOCK OCEAN BOULEVARD","92109","SAN DIEGO","4300  BLOCK OCEAN BOULEVARD , SAN DIEGO, CA  92109",-117.2557477,32.7934393
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","4/5/2015 19:40:00","3700  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3700  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.2535843,32.7824414
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/29/2015 16:23:00","3300  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3300  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.2530583,32.7740965
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/25/2015 10:46:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/26/2015 22:48:00","800  BLOCK GARNET AVENUE","92109","SAN DIEGO","800  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2552823,32.7968511
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/29/2015 16:35:00","3200  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3200  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.2529428,32.7720292
"SAN DIEGO","ROBBERY: FIRST DEGREE","12/10/2014 1:46:00","900  BLOCK WEST MISSION BAY DRIVE","92109","SAN DIEGO           ","900  BLOCK WEST MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2494504,32.772135
"SAN DIEGO","ROBBERY","12/17/2014 21:28:00","700  BLOCK TURQUOISE STREET","92109","SAN DIEGO           ","700  BLOCK TURQUOISE STREET , SAN DIEGO, CA  92109",-117.2603144,32.8084375
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/21/2015 18:31:00","700  BLOCK DIAMOND STREET","92109","SAN DIEGO","700  BLOCK DIAMOND STREET , SAN DIEGO, CA  92109",-117.2571468,32.7992043
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/21/2015 22:50:00","4500  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4500  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2554928,32.796557
"SAN DIEGO","GRAND THEFT/UNSPECIFIED","1/16/2015 6:15:00","800  BLOCK CHALCEDONY STREET","92109","SAN DIEGO","800  BLOCK CHALCEDONY STREET , SAN DIEGO, CA  92109",-117.2569101,32.801238
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/18/2015 14:00:00","3200  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3200  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.2529428,32.7720292
"SAN DIEGO","MINOR POSSESS ALCOHOL","3/18/2015 17:00:00","3900  BLOCK OCEAN FRONT WALK","92109","SAN DIEGO","3900  BLOCK OCEAN FRONT WALK , SAN DIEGO, CA  92109",-117.25441,32.7872495
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/17/2015 23:38:00","700  BLOCK GRAND AVENUE","92109","SAN DIEGO","700  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2560589,32.7945089
"SAN DIEGO","BURGLARY/UNSPECIFIED","12/30/2014 17:30:00","1000  BLOCK BERYL STREET","92109","SAN DIEGO","1000  BLOCK BERYL STREET , SAN DIEGO, CA  92109",-117.2538141,32.803917
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","12/5/2014 0:16:00","900  BLOCK HORNBLEND STREET","92109","SAN DIEGO           ","900  BLOCK HORNBLEND STREET , SAN DIEGO, CA  92109",-117.2533733,32.7960623
"SAN DIEGO","ATTEMPTED RAPE","1/14/2015 2:20:00","4500  BLOCK MISSION BAY DRIVE","92109","SAN DIEGO           ","4500  BLOCK MISSION BAY DRIVE , SAN DIEGO, CA  92109",-117.2165072,32.8028591
"SAN DIEGO","BATTERY WITH SERIOUS BODILY INJURY (F)","1/2/2015 1:45:00","800  BLOCK GARNET AVENUE","92109","SAN DIEGO","800  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2552823,32.7968511
"SAN DIEGO","BURGLARY/UNSPECIFIED","11/28/2014 8:00:00","1000  BLOCK FELSPAR STREET","92109","SAN DIEGO","1000  BLOCK FELSPAR STREET , SAN DIEGO, CA  92109",-117.2521042,32.7983226
"SAN DIEGO","MINOR POSSESS ALCOHOL","2/21/2015 14:00:00","2900  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","2900  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2513477,32.7656389
"SAN DIEGO","TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT","12/18/2014 11:00:00","1600  BLOCK CHALCEDONY STREET","92109","SAN DIEGO","1600  BLOCK CHALCEDONY STREET , SAN DIEGO, CA  92109",-117.2423069,32.8044512
"SAN DIEGO","BATTERY ON PERSON (M)","12/25/2014 1:55:00","1400  BLOCK HORNBLEND STREET","92109","SAN DIEGO           ","1400  BLOCK HORNBLEND STREET , SAN DIEGO, CA  92109",-117.2442186,32.7980613
"SAN DIEGO","IMPERSONATE TO GET MONEY/FELONY","12/13/2014 14:30:00","900  BLOCK CHALCEDONY STREET","92109","SAN DIEGO           ","900  BLOCK CHALCEDONY STREET , SAN DIEGO, CA  92109",-117.2550749,32.8016349
"SAN DIEGO","POSS CONTRL SUB PARAPHERNALIA","1/8/2015 13:20:00","1800  BLOCK GARNET AVENUE","92109","SAN DIEGO","1800  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.237152,32.8006145
"SAN DIEGO","MALICIOUS MISCHIEF/VANDALISM(MISDEMEANOR)","12/20/2014 10:30:00","1400  BLOCK VACATION ROAD","92109","SAN DIEGO           ","1400  BLOCK VACATION ROAD , SAN DIEGO, CA  92109",-117.2387119,32.7749863
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","2/27/2015 18:35:00","700  BLOCK HORNBLEND STREET","92109","SAN DIEGO","700  BLOCK HORNBLEND STREET , SAN DIEGO, CA  92109",-117.2563477,32.7954074
"SAN DIEGO","MALICIOUS MISCHIEF/VANDALISM(MISDEMEANOR)","11/29/2014 10:30:00","1500  BLOCK GRAND AVENUE","92109","SAN DIEGO","1500  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2421192,32.7975442
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","12/29/2014 17:05:00","500  BLOCK SEA WORLD DRIVE","92109","SAN DIEGO","500  BLOCK SEA WORLD DRIVE , SAN DIEGO, CA  92109",-117.2267477,32.7639528
"SAN DIEGO","MINOR POSSESS ALCOHOL","3/14/2015 1:34:00","1000  BLOCK GARNET AVENUE","92109","SAN DIEGO","1000  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2516784,32.7977202
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","3/14/2015 19:02:00","4400  BLOCK OCEAN BOULEVARD","92109","SAN DIEGO","4400  BLOCK OCEAN BOULEVARD , SAN DIEGO, CA  92109",-117.255962,32.794346
"SAN DIEGO","IMPERSONATE TO GET MONEY/FELONY","12/30/2014 12:00:00","700  BLOCK BRIGHTON COURT","92109","SAN DIEGO","700  BLOCK BRIGHTON COURT , SAN DIEGO, CA  92109",-117.2522847,32.76296
"SAN DIEGO","BURGLARY/SECOND DEGREE","12/27/2014 18:00:00","4800  BLOCK JEWELL STREET","92109","SAN DIEGO","4800  BLOCK JEWELL STREET , SAN DIEGO, CA  92109",-117.2404408,32.8048588
"HARBOR POLICE","SELL/FURNISH MARIJUANA/HASHISH (F)","1/15/2015 11:30:00","4600  BLOCK JEWELL STREET","92109","SAN DIEGO","4600  BLOCK JEWELL STREET , SAN DIEGO, CA  92109",-117.2395279,32.8019214
"SAN DIEGO","POSS CONTRL SUB PARAPHERNALIA","1/5/2015 11:30:00","600  BLOCK DIAMOND STREET","92109","SAN DIEGO","600  BLOCK DIAMOND STREET , SAN DIEGO, CA  92109",-117.2579027,32.7991128
"SAN DIEGO","POSSESS CONTROLLED SUBSTANCE (M)","2/4/2015 16:30:00","2100  BLOCK GARNET AVENUE","92109","SAN DIEGO","2100  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2316733,32.8018141
"SAN DIEGO","IMPERSONATE TO GET MONEY/FELONY","1/2/2015 9:00:00","1800  BLOCK GRAND AVENUE","92109","SAN DIEGO","1800  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.236597,32.798767
"SAN DIEGO","DUI ALCOHOL AND/OR DRUGS","12/19/2014 3:03:00","3900  BLOCK INGRAHAM STREET","92109","SAN DIEGO","3900  BLOCK INGRAHAM STREET , SAN DIEGO, CA  92109",-117.2381155,32.7906786
"SAN DIEGO","BURGLARY/UNSPECIFIED","11/29/2014 9:30:00","1400  BLOCK GRAND AVENUE","92109","SAN DIEGO","1400  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2439602,32.7971597
"SAN DIEGO","ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE","12/5/2014 20:17:00","800  BLOCK GARNET AVENUE","92109","SAN DIEGO           ","800  BLOCK GARNET AVENUE , SAN DIEGO, CA  92109",-117.2552823,32.7968511
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","3/14/2015 19:58:00","800  BLOCK HORNBLEND STREET","92109","SAN DIEGO           ","800  BLOCK HORNBLEND STREET , SAN DIEGO, CA  92109",-117.2551911,32.795672
"SAN DIEGO","BURGLARY/UNSPECIFIED","11/30/2014 3:27:00","2000  BLOCK DIAMOND STREET","92109","SAN DIEGO","2000  BLOCK DIAMOND STREET , SAN DIEGO, CA  92109",-117.2342337,32.8042323
"SAN DIEGO","BATTERY W/SERIOUS BODILY INJURY","12/6/2014 2:20:00","900  BLOCK HORNBLEND STREET","92109","SAN DIEGO           ","900  BLOCK HORNBLEND STREET , SAN DIEGO, CA  92109",-117.2533733,32.7960623
"SAN DIEGO","THEFT","3/11/2015 13:00:00","1000  BLOCK SANTA CLARA PLACE","92109","SAN DIEGO","1000  BLOCK SANTA CLARA PLACE , SAN DIEGO, CA  92109",-117.2498446,32.7829098
"SAN DIEGO","BATTERY ON PERSON","12/12/2014 11:59:00","4200  BLOCK CASS STREET","92109","SAN DIEGO           ","4200  BLOCK CASS STREET , SAN DIEGO, CA  92109",-117.2503787,32.792596
"SAN DIEGO","BURGLARY/UNSPECIFIED","1/20/2015 9:00:00","3700  BLOCK INGRAHAM STREET","92109","SAN DIEGO","3700  BLOCK INGRAHAM STREET , SAN DIEGO, CA  92109",-117.2371612,32.7869927
"SAN DIEGO","DUI ALCOHOL AND/OR DRUGS","12/17/2014 18:01:00","1500  BLOCK FELSPAR STREET","92109","SAN DIEGO","1500  BLOCK FELSPAR STREET , SAN DIEGO, CA  92109",-117.2429595,32.8003375
"SAN DIEGO","ROBBERY","11/30/2014 17:30:00","4500  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","4500  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2554928,32.796557
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","12/4/2014 5:00:00","4600  BLOCK LAMONT STREET","92109","SAN DIEGO","4600  BLOCK LAMONT STREET , SAN DIEGO, CA  92109",-117.2363856,32.8025552
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","12/5/2014 20:00:00","3900  BLOCK MISSION BOULEVARD","92109","SAN DIEGO","3900  BLOCK MISSION BOULEVARD , SAN DIEGO, CA  92109",-117.2535824,32.7871879
"SAN DIEGO","BURGLARY/UNSPECIFIED","3/23/2015 9:30:00","1100  BLOCK FELSPAR STREET","92109","SAN DIEGO           ","1100  BLOCK FELSPAR STREET , SAN DIEGO, CA  92109",-117.2502824,32.7987183
"SAN DIEGO","PETTY THEFT","12/13/2014 11:30:00","4200  BLOCK EVERTS STREET","92109","SAN DIEGO","4200  BLOCK EVERTS STREET , SAN DIEGO, CA  92109",-117.2468648,32.7938551
"SAN DIEGO","GRAND THEFT:MONEY/LABOR/PROPERTY OVER $950","11/30/2014 9:00:00","4500  BLOCK OCEAN BOULEVARD","92109","SAN DIEGO","4500  BLOCK OCEAN BOULEVARD , SAN DIEGO, CA  92109",-117.2567437,32.7962655
"SAN DIEGO","PETTY THEFT / THEFT OF PERSONAL PROPERTY / SHOPLIFT","11/30/2014 1:20:00","4200  BLOCK OCEAN BOULEVARD","92109","SAN DIEGO","4200  BLOCK OCEAN BOULEVARD , SAN DIEGO, CA  92109",-117.2557477,32.7934393
"SAN DIEGO","BURGLARY/UNSPECIFIED","12/18/2014 6:30:00","1400  BLOCK GRAND AVENUE","92109","SAN DIEGO","1400  BLOCK GRAND AVENUE , SAN DIEGO, CA  92109",-117.2439602,32.7971597
"SAN DIEGO","OPEN CONTAINER IN PUBLIC PARK","1/21/2015 20:10:00","0 N  BLOCK JETTY ROAD","92109","SAN DIEGO","0 N  BLOCK JETTY ROAD , SAN DIEGO, CA  92109",-117.2500543,32.7598158
